close,time,ema20,ema50
1105.91,1517078524770,1105.2265710584268,1105.0545016561132
1105.91,1517078525384,1105.39742829382,1105.1359776888644
1104.96,1517078526785,1105.288071220365,1105.1192179089726
1105.91,1517078526878,1105.4435534152738,1105.1945304890705
1107,1517078527910,1105.8326650614554,1105.3664799663018
1107,1517078528945,1106.1244987960915,1105.5220533028444
1107,1517078530329,1106.3433740970686,1105.6628101311449
1107,1517078530354,1106.5075305728014,1105.7901615472263
1106.21,1517078531425,1106.433147929601,1105.8301461617762
1106.77,1517078532451,1106.5173609472008,1105.919656051131
1104.93,1517078533544,1106.1205207104006,1105.8254030938804
1106.77,1517078536869,1106.2828905328006,1105.915364703987
1107.37,1517078538388,1106.5546678996004,1106.0539013988455
1107,1517078540436,1106.6660009247003,1106.1440060275268
1107,1517078542484,1106.749500693525,1106.2255292630005
1105.11,1517078545560,1106.3396255201437,1106.1192883808098
1106.97,1517078547912,1106.4972191401077,1106.2003085350184
1107,1517078549551,1106.6229143550809,1106.2764696269214
1105.14,1517078549599,1106.2521857663107,1106.1682344243575
1106.98,1517078550604,1106.4341393247332,1106.2455454315616
1105.17,1517078552214,1106.11810449355,1106.1431125333177
1105.22,1517078554363,1105.8935783701625,1106.055197053954
1105.23,1517078555592,1105.7276837776217,1105.9766068583394
1106.97,1517078555683,1106.0382628332163,1106.0712157289738
1105.24,1517078556923,1105.8386971249122,1105.9920523262144
1105.22,1517078558868,1105.6840228436843,1105.9185235332416
1105.24,1517078560335,1105.5730171327632,1105.8539022443613
1105.24,1517078562016,1105.4897628495723,1105.795435363946
1105.25,1517078563460,1105.4298221371791,1105.7434891388082
1105.73,1517078564914,1105.5048666028842,1105.7422044589218
1105.71,1517078565938,1105.5561499521632,1105.739137367596
1105.5,1517078567166,1105.5421124641225,1105.716362380206
1105.5,1517078567473,1105.5315843480919,1105.695756439234
1105.23,1517078568598,1105.4561882610687,1105.6513986831164
1105.3,1517078573024,1105.4171411958016,1105.6179321418674
1105.7,1517078574232,1105.4878558968512,1105.6257481283562
1105.69,1517078576379,1105.5383919226383,1105.631867354227
1106.8,1517078577714,1105.8537939419787,1105.743118082396
1105.32,1517078578805,1105.720345456484,1105.7028211221677
1106,1517078580042,1105.790259092363,1105.7311238724374
1106,1517078580988,1105.8426943192721,1105.7567311226815
1106.79,1517078582209,1106.079520739454,1105.8551376824262
1106.79,1517078582222,1106.2571405545905,1105.9441721888618
1106.78,1517078584676,1106.3878554159428,1106.0237748375416
1106.78,1517078586824,1106.485891561957,1106.0957962815853
1106,1517078588361,1106.3644186714678,1106.0866728261963
1105.37,1517078588575,1106.115814003601,1106.0184182713206
1105.31,1517078590134,1105.9143605027007,1105.9509498645282
1105.5,1517078591332,1105.8107703770256,1105.9080022583826
1105.5,1517078592094,1105.7330777827692,1105.8691449004414
1106,1517078593378,1105.799808337077,1105.8816072908755
1106,1517078596553,1105.8498562528077,1105.8928827869827
1105.53,1517078597884,1105.7698921896058,1105.8583225215557
1105.55,1517078598293,1105.7149191422043,1105.8289584718837
1105.54,1517078599420,1105.6711893566533,1105.8014386174186
1105.55,1517078600214,1105.64089201749,1105.7774920824263
1106,1517078601228,1105.7306690131174,1105.7986833126713
1106,1517078603417,1105.7980017598381,1105.817856330512
1106.59,1517078607058,1105.9960013198786,1105.8913938228443
1105.55,1517078609459,1105.884500989909,1105.8588801254307
1105.32,1517078610431,1105.7433757424317,1105.807558208723
1105.56,1517078612630,1105.697531806824,1105.7839812364637
1105.56,1517078614151,1105.663148855118,1105.7626496901337
1106.43,1517078615497,1105.8548616413384,1105.826206862502
